fallecidos,n_personas,edad,todos_con_seguridad,C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,V_YEAR,sexo_M
0,1,36.0,False,1,1.0,6.0,3.0,1.0,1.0,5.0,5.0,1.0,18.0,6,1994.0,1
0,1,,False,1,1.0,6.0,3.0,1.0,1.0,5.0,5.0,1.0,18.0,1,1995.0,1
0,1,,False,1,1.0,6.0,3.0,1.0,1.0,5.0,5.0,1.0,18.0,1,1990.0,1
0,1,20.0,False,1,1.0,6.0,3.0,21.0,1.0,1.0,3.0,1.0,18.0,1,1985.0,1
0,2,46.0,False,1,1.0,6.0,3.0,21.0,1.0,1.0,3.0,1.0,18.0,1,1994.0,1
0,1,42.0,False,1,1.0,6.0,3.0,21.0,1.0,1.0,3.0,1.0,18.0,6,1987.0,1
0,2,47.0,False,1,1.0,6.0,3.0,21.0,1.0,4.0,2.0,4.0,18.0,1,1995.0,1
0,2,22.0,False,1,1.0,6.0,3.0,21.0,1.0,4.0,2.0,4.0,18.0,1,1986.0,1
0,1,30.0,False,1,1.0,6.0,3.0,21.0,1.0,4.0,2.0,4.0,18.0,1,1994.0,1
0,1,40.0,False,1,1.0,6.0,3.0,31.0,2.0,5.0,5.0,4.0,18.0,6,1989.0,1
0,1,41.0,False,1,1.0,6.0,3.0,31.0,2.0,5.0,5.0,4.0,18.0,1,1989.0,0
0,1,20.0,False,1,1.0,6.0,3.0,31.0,2.0,5.0,5.0,4.0,18.0,1,1984.0,0
0,1,28.0,False,1,1.0,6.0,3.0,33.0,2.0,3.0,2.0,2.0,3.0,1,1991.0,1
0,1,61.0,False,1,1.0,6.0,3.0,33.0,2.0,3.0,2.0,2.0,3.0,1,1997.0,1
0,1,32.0,False,1,1.0,6.0,3.0,33.0,2.0,3.0,2.0,2.0,3.0,1,1993.0,1
0,1,,False,1,1.0,6.0,3.0,,1.0,1.0,5.0,1.0,18.0,1,1993.0,0
0,1,,False,1,1.0,6.0,3.0,,1.0,1.0,5.0,1.0,18.0,6,1997.0,0
0,1,39.0,False,1,1.0,6.0,3.0,,1.0,1.0,5.0,1.0,18.0,6,1986.0,1
0,1,48.0,False,1,1.0,6.0,3.0,,1.0,2.0,,1.0,18.0,1,1993.0,1
0,1,50.0,False,1,1.0,6.0,3.0,,1.0,2.0,,1.0,18.0,6,1987.0,1
0,3,53.0,False,1,1.0,6.0,3.0,,1.0,2.0,,1.0,18.0,6,1995.0,1
0,1,,False,1,1.0,6.0,4.0,21.0,5.0,2.0,2.0,2.0,18.0,6,1997.0,0
0,2,22.0,False,1,1.0,6.0,4.0,21.0,5.0,2.0,2.0,2.0,18.0,6,1988.0,1
